Tên món,Nguyên liệu,Công thức,Tiểu đường,Huyết áp cao,Dạ dày,Gout,Time,Calo 
Súp lơ xanh xào thịt bò,"súp lơ, bò, tỏi",https://cookpad.com/vn/cong-thuc/23961676-sup-l%C6%A1-xanh-xao-th%E1%BB%8Bt-bo?ref=search&search_term=s%C3%BAp+l%C6%A1,0,1,1,1,30 phút,130
Súp lơ xào ngô bao tử,"súp lơ, ngô",https://cookpad.com/vn/cong-thuc/22566704-sup-l%C6%A1-xao-ngo-bao-t%E1%BB%AD?ref=search&search_term=s%C3%BAp+l%C6%A1,0,1,1,0,20 phút,70
Súp lơ xanh(bông cải xanh) trộn,"súp lơ, dầu mè",https://cookpad.com/vn/cong-thuc/22572845-sup-l%C6%A1-xanhbong-c%E1%BA%A3i-xanh-tr%E1%BB%99n?ref=search&search_term=s%C3%BAp+l%C6%A1,0,0,0,0,15 phút,40
Súp lơ xanh luộc,"súp lơ, muối tinh",https://cookpad.com/vn/cong-thuc/17058234-sup-l%C6%A1-xanh-lu%E1%BB%99c-mon-chay?ref=search&search_term=s%C3%BAp+l%C6%A1,0,0,0,0,10 phút,30
Tôm Xào Súp Lơ Xanh,"súp lơ, tôm, mắm, hành",https://cookpad.com/vn/cong-thuc/16460528-tom-xao-sup-l%C6%A1-xanh?ref=search&search_term=s%C3%BAp+l%C6%A1,0,1,1,1,15 phút,100
Eat clean cùng với trứng và súp lơ,"súp lơ, trứng ",https://cookpad.com/vn/cong-thuc/16235573-eat-clean-cung-v%E1%BB%9Bi-tr%E1%BB%A9ng-va-sup-l%C6%A1?ref=search&search_term=s%C3%BAp+l%C6%A1,0,1,1,0,15 phút,90
Bông cải(súp lơ) xào nấm đùi gà,"súp lơ, nấm đùi gà, dầu hào",https://cookpad.com/vn/cong-thuc/16042862-bong-c%E1%BA%A3isup-l%C6%A1-xao-n%E1%BA%A5m-dui-ga?ref=search&search_term=s%C3%BAp+l%C6%A1,0,1,1,0,15 phút,80
Súp lơ xào tỏi,"súp lơ, tỏi, mắm",https://cookpad.com/vn/cong-thuc/14271070-sup-l%C6%A1-xao-t%E1%BB%8Fi?ref=search&search_term=s%C3%BAp+l%C6%A1,0,1,1,0,10 phút,50
"Nộm su su, cà rốt","su su, rau mùi, cà rốt",https://cookpad.com/vn/cong-thuc/24167661-n%E1%BB%99m-su-su-ca-r%E1%BB%91t-ngo-sen?ref=search&search_term=su+su,0,1,1,0,20 phút,40
"Canh su su nấu gà","su su, hành, gà, gia vị ",https://cookpad.com/vn/cong-thuc/16759366-canh-su-su-n%E1%BA%A5u-ga?ref=search&search_term=su+su,0,0,0,0,20 phút,60
